"","Type","Name","Active_Cases","Cumulative_Faculty_Staff_Cases","Cumulative_Student_Cases","Cumulative_Total","Date"
"573","PUBLIC SCHOOL DISTRICT","PERRYVILLE SCHOOL DIST",6,NA,NA,26,2021-10-11
"574","PUBLIC SCHOOL DISTRICT","QUITMAN SCHOOL DIST",6,5,28,37,2021-10-11
"575","PUBLIC SCHOOL DISTRICT","ROSE BUD SCHOOL DIST",6,NA,NA,47,2021-10-11
"576","PUBLIC SCHOOL DISTRICT","SILOAM SPRINGS SCHOOL DIST",6,21,143,198,2021-10-11
"577","PUBLIC SCHOOL DISTRICT","TWO RIVERS SCHOOL DIST",6,7,41,57,2021-10-11
"578","PUBLIC SCHOOL DISTRICT","VILONIA SCHOOL DIST",6,12,96,132,2021-10-11
"579","PUBLIC SCHOOL DISTRICT","CAVE CITY SCHOOL DIST",5,7,54,70,2021-10-11
"580","PUBLIC SCHOOL DISTRICT","CONCORD SCHOOL DIST",5,NA,NA,29,2021-10-11
"581","PUBLIC SCHOOL DISTRICT","ELKINS SCHOOL DIST",5,5,33,43,2021-10-11
"582","PUBLIC SCHOOL DISTRICT","IZARD CO CONS SCHOOL DIST",5,NA,NA,23,2021-10-11
"583","PUBLIC SCHOOL DISTRICT","JACKSON CO. SCHOOL DIST",5,NA,NA,43,2021-10-11
"584","PUBLIC SCHOOL DISTRICT","JESSIEVILLE SCHOOL DIST",5,8,49,66,2021-10-11
"585","PUBLIC SCHOOL DISTRICT","LAKESIDE SCHOOL DIST(GARLAND)",5,6,65,82,2021-10-11
"586","PUBLIC SCHOOL DISTRICT","MARMADUKE SCHOOL DIST",5,11,43,68,2021-10-11
"587","PUBLIC SCHOOL DISTRICT","MONTICELLO SCHOOL DIST",5,10,76,90,2021-10-11
"588","PUBLIC SCHOOL DISTRICT","OZARK SCHOOL DIST",5,6,59,71,2021-10-11
"589","PUBLIC SCHOOL DISTRICT","SEARCY SCHOOL DIST",5,16,160,193,2021-10-11
"590","PUBLIC SCHOOL DISTRICT","WOODLAWN SCHOOL DIST",5,NA,NA,16,2021-10-11
"591","PUBLIC SCHOOL DISTRICT","U OF A, FAYETTEVILLE",39,71,363,688,2021-10-11
"592","PUBLIC SCHOOL DISTRICT","U OF A FOR MEDICAL SCIENCES, LITTLE ROCK",14,37,17,144,2021-10-11
"593","PUBLIC SCHOOL DISTRICT","ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",13,15,71,130,2021-10-11
"594","PUBLIC SCHOOL DISTRICT","UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",8,26,93,191,2021-10-11
"595","PUBLIC SCHOOL DISTRICT","U OF A, FORT SMITH",7,8,52,99,2021-10-11
"596","PUBLIC SCHOOL DISTRICT","UACC AT BATESVILLE",7,NA,NA,26,2021-10-11
"597","PUBLIC SCHOOL DISTRICT","UA SYSTEM DIVISION OF AGRICULTURE, LITTLE ROCK",5,11,0,28,2021-10-11
"598","PUBLIC SCHOOL DISTRICT","UACC AT MORRILTON",5,12,17,46,2021-10-11
"599","PUBLIC SCHOOL DISTRICT","SPRINGDALE SCHOOL DIST",70,112,559,812,2021-10-07
"600","PUBLIC SCHOOL DISTRICT","ROGERS SCHOOL DIST",48,68,368,532,2021-10-07
"601","PUBLIC SCHOOL DISTRICT","FORT SMITH SCHOOL DIST",45,90,398,573,2021-10-07
"602","PUBLIC SCHOOL DISTRICT","BENTONVILLE SCHOOL DIST",39,60,375,501,2021-10-07
"603","PUBLIC SCHOOL DISTRICT","PULASKI COUNTY SPECIAL SCHOOL DIST",37,34,202,282,2021-10-07
"604","PUBLIC SCHOOL DISTRICT","CABOT SCHOOL DIST",35,33,431,589,2021-10-07
"605","PUBLIC SCHOOL DISTRICT","PARAGOULD SCHOOL DIST",35,20,212,294,2021-10-07
"606","PUBLIC SCHOOL DISTRICT","LITTLE ROCK SCHOOL DIST",33,34,299,388,2021-10-07
"607","PUBLIC SCHOOL DISTRICT","BRYANT SCHOOL DIST",30,31,269,374,2021-10-07
"608","PUBLIC SCHOOL DISTRICT","CONWAY SCHOOL DIST",28,22,240,320,2021-10-07
"609","PUBLIC SCHOOL DISTRICT","JONESBORO SCHOOL DIST",27,32,274,333,2021-10-07
"610","PUBLIC SCHOOL DISTRICT","GREENE COUNTY TECH SCHOOL DIST",23,28,202,264,2021-10-07
"611","PUBLIC SCHOOL DISTRICT","NETTLETON SCHOOL DIST",23,26,114,165,2021-10-07
"612","PUBLIC SCHOOL DISTRICT","BENTON SCHOOL DIST",22,25,214,295,2021-10-07
"613","PUBLIC SCHOOL DISTRICT","DREW CENTRAL SCHOOL DIST",21,8,59,78,2021-10-07
"614","PUBLIC SCHOOL DISTRICT","BATESVILLE SCHOOL DIST",20,15,115,137,2021-10-07
"615","PUBLIC SCHOOL DISTRICT","VAN BUREN SCHOOL DIST",20,38,195,264,2021-10-07
"616","PUBLIC SCHOOL DISTRICT","POCAHONTAS SCHOOL DIST",19,18,129,174,2021-10-07
"617","PUBLIC SCHOOL DISTRICT","RUSSELLVILLE SCHOOL DIST",19,28,159,221,2021-10-07
"618","PUBLIC SCHOOL DISTRICT","WYNNE SCHOOL DIST",19,26,89,126,2021-10-07
"619","PUBLIC SCHOOL DISTRICT","WEST MEMPHIS SCHOOL DIST",18,26,200,254,2021-10-07
"620","PUBLIC SCHOOL DISTRICT","SHIRLEY SCHOOL DIST",16,NA,NA,38,2021-10-07
"621","PUBLIC SCHOOL DISTRICT","SOUTHSIDE SCHOOL DIST(INDEPENDENCE)",16,7,76,97,2021-10-07
"622","PUBLIC SCHOOL DISTRICT","ALMA SCHOOL DIST",15,15,96,133,2021-10-07
"623","PUBLIC SCHOOL DISTRICT","FAYETTEVILLE SCHOOL DIST",15,23,168,193,2021-10-07
"624","PUBLIC SCHOOL DISTRICT","GREENBRIER SCHOOL DIST",15,18,126,159,2021-10-07
"625","PUBLIC SCHOOL DISTRICT","GREENWOOD SCHOOL DIST",15,17,105,153,2021-10-07
"626","PUBLIC SCHOOL DISTRICT","LAKE HAMILTON SCHOOL DIST",14,19,121,151,2021-10-07
"627","PUBLIC SCHOOL DISTRICT","MELBOURNE SCHOOL DIST",14,NA,NA,33,2021-10-07
"628","PUBLIC SCHOOL DISTRICT","BUFFALO IS. CENTRAL SCH. DIST",13,NA,NA,47,2021-10-07
"629","PUBLIC SCHOOL DISTRICT","JACKSONVILLE NORTH PULASKI SCHOOL DIST",13,13,97,138,2021-10-07
"630","PUBLIC SCHOOL DISTRICT","LAMAR SCHOOL DIST",13,12,74,100,2021-10-07
"631","PUBLIC SCHOOL DISTRICT","TRUMANN SCHOOL DIST",13,7,78,106,2021-10-07
"632","PUBLIC SCHOOL DISTRICT","CLEVELAND COUNTY SCHOOL DIST",12,NA,NA,29,2021-10-07
"633","PUBLIC SCHOOL DISTRICT","HILLCREST SCHOOL DIST",12,NA,NA,30,2021-10-07
"634","PUBLIC SCHOOL DISTRICT","NEWPORT SCHOOL DIST",12,14,79,99,2021-10-07
"635","PUBLIC SCHOOL DISTRICT","NORTH LITTLE ROCK SCHOOL DIST",12,22,121,167,2021-10-07
"636","PUBLIC SCHOOL DISTRICT","VALLEY VIEW SCHOOL DIST",12,6,57,74,2021-10-07
"637","PUBLIC SCHOOL DISTRICT","COSSATOT RIVER SCHOOL DIST",11,13,55,76,2021-10-07
"638","PUBLIC SCHOOL DISTRICT","EMERSON",11,8,48,60,2021-10-07
"639","PUBLIC SCHOOL DISTRICT","HARRISON SCHOOL DIST",11,9,52,71,2021-10-07
"640","PUBLIC SCHOOL DISTRICT","MCGEHEE SCHOOL DIST",11,NA,NA,66,2021-10-07
"641","PUBLIC SCHOOL DISTRICT","PALESTINE",11,NA,NA,49,2021-10-07
"642","PUBLIC SCHOOL DISTRICT","EL DORADO SCHOOL DIST",10,15,71,95,2021-10-07
"643","PUBLIC SCHOOL DISTRICT","FOUKE SCHOOL DIST",10,12,44,60,2021-10-07
"644","PUBLIC SCHOOL DISTRICT","GOSNELL SCHOOL DIST",10,13,63,91,2021-10-07
"645","PUBLIC SCHOOL DISTRICT","MENA SCHOOL DIST",10,20,84,119,2021-10-07
"646","PUBLIC SCHOOL DISTRICT","MOUNTAIN VIEW SCHOOL DIST",10,9,58,75,2021-10-07
"647","PUBLIC SCHOOL DISTRICT","SCRANTON SCHOOL DIST",10,NA,NA,21,2021-10-07
"648","PUBLIC SCHOOL DISTRICT","DARDANELLE SCHOOL DIST",9,10,83,103,2021-10-07
"649","PUBLIC SCHOOL DISTRICT","HIGHLAND SCHOOL DIST",9,11,91,125,2021-10-07
"650","PUBLIC SCHOOL DISTRICT","LISA ACADEMY",9,17,82,119,2021-10-07
"651","PUBLIC SCHOOL DISTRICT","TWO RIVERS SCHOOL DIST",9,7,41,57,2021-10-07
"652","PUBLIC SCHOOL DISTRICT","WALDRON SCHOOL DIST",9,17,101,151,2021-10-07
"653","PUBLIC SCHOOL DISTRICT","BEEBE SCHOOL DIST",8,6,73,87,2021-10-07
"654","PUBLIC SCHOOL DISTRICT","BERRYVILLE SCHOOL DIST",8,17,57,87,2021-10-07
"655","PUBLIC SCHOOL DISTRICT","CAVE CITY SCHOOL DIST",8,7,52,68,2021-10-07
"656","PUBLIC SCHOOL DISTRICT","CHARLESTON SCHOOL DIST",8,6,25,38,2021-10-07
"657","PUBLIC SCHOOL DISTRICT","GENTRY SCHOOL DIST",8,14,67,91,2021-10-07
"658","PUBLIC SCHOOL DISTRICT","HAMBURG SCHOOL DIST",8,18,76,109,2021-10-07
"659","PUBLIC SCHOOL DISTRICT","MONTICELLO SCHOOL DIST",8,10,75,89,2021-10-07
"660","PUBLIC SCHOOL DISTRICT","NASHVILLE SCHOOL DIST",8,6,81,89,2021-10-07
"661","PUBLIC SCHOOL DISTRICT","PRAIRIE GROVE SCHOOL DIST",8,12,96,122,2021-10-07
"662","PUBLIC SCHOOL DISTRICT","PRESCOTT SCHOOL DIST",8,NA,NA,57,2021-10-07
"663","PUBLIC SCHOOL DISTRICT","CLINTON SCHOOL DIST",7,7,38,48,2021-10-07
"664","PUBLIC SCHOOL DISTRICT","DEQUEEN SCHOOL DIST",7,7,107,128,2021-10-07
"665","PUBLIC SCHOOL DISTRICT","DIERKS SCHOOL DIST",7,NA,NA,19,2021-10-07
"666","PUBLIC SCHOOL DISTRICT","FORREST CITY SCHOOL DIST",7,8,76,100,2021-10-07
"667","PUBLIC SCHOOL DISTRICT","HOPE SCHOOL DIST",7,11,34,52,2021-10-07
"668","PUBLIC SCHOOL DISTRICT","LAKESIDE SCHOOL DIST(CHICOT)",7,NA,NA,57,2021-10-07
"669","PUBLIC SCHOOL DISTRICT","MANSFIELD SCHOOL DIST",7,12,49,69,2021-10-07
"670","PUBLIC SCHOOL DISTRICT","MIDLAND SCHOOL DIST",7,8,34,46,2021-10-07
"671","PUBLIC SCHOOL DISTRICT","PANGBURN SCHOOL DIST",7,12,52,70,2021-10-07
"672","PUBLIC SCHOOL DISTRICT","RIVERSIDE SCHOOL DIST",7,NA,NA,36,2021-10-07
"673","PUBLIC SCHOOL DISTRICT","SOUTH CONWAY COUNTY SCHOOL DIST",7,9,92,114,2021-10-07
"674","PUBLIC SCHOOL DISTRICT","ARKADELPHIA SCHOOL DIST",6,NA,NA,61,2021-10-07
"675","PUBLIC SCHOOL DISTRICT","ARKANSAS ARTS ACADEMY",6,NA,NA,38,2021-10-07
"676","PUBLIC SCHOOL DISTRICT","BROOKLAND SCHOOL DIST",6,6,139,177,2021-10-07
"677","PUBLIC SCHOOL DISTRICT","IZARD CO CONS SCHOOL DIST",6,NA,NA,20,2021-10-07
"678","PUBLIC SCHOOL DISTRICT","LAKESIDE SCHOOL DIST(GARLAND)",6,6,65,81,2021-10-07
"679","PUBLIC SCHOOL DISTRICT","LAVACA SCHOOL DIST",6,7,39,51,2021-10-07
"680","PUBLIC SCHOOL DISTRICT","PERRYVILLE SCHOOL DIST",6,NA,NA,26,2021-10-07
"681","PUBLIC SCHOOL DISTRICT","RIVERVIEW SCHOOL DIST",6,7,35,46,2021-10-07
"682","PUBLIC SCHOOL DISTRICT","SHERIDAN SCHOOL DIST",6,22,163,222,2021-10-07
"683","PUBLIC SCHOOL DISTRICT","SILOAM SPRINGS SCHOOL DIST",6,21,139,194,2021-10-07
"684","PUBLIC SCHOOL DISTRICT","WESTSIDE CONS. SCH DIST(CRAIGHEAD)",6,18,80,115,2021-10-07
"685","PUBLIC SCHOOL DISTRICT","ASHDOWN SCHOOL DIST",5,10,65,105,2021-10-07
"686","PUBLIC SCHOOL DISTRICT","BOONEVILLE SCHOOL DIST",5,15,60,86,2021-10-07
"687","PUBLIC SCHOOL DISTRICT","CENTERPOINT SCHOOL DIST",5,7,54,65,2021-10-07
"688","PUBLIC SCHOOL DISTRICT","CLARKSVILLE SCHOOL DIST",5,21,118,159,2021-10-07
"689","PUBLIC SCHOOL DISTRICT","CROSS COUNTY SCHOOL DIST",5,NA,NA,49,2021-10-07
"690","PUBLIC SCHOOL DISTRICT","ESTEM PUBLIC CHARTER SCHOOL DIST",5,19,78,104,2021-10-07
"691","PUBLIC SCHOOL DISTRICT","GURDON SCHOOL DIST",5,NA,NA,49,2021-10-07
"692","PUBLIC SCHOOL DISTRICT","HUNTSVILLE SCHOOL DIST",5,11,67,91,2021-10-07
"693","PUBLIC SCHOOL DISTRICT","JACKSON CO. SCHOOL DIST",5,NA,NA,41,2021-10-07
"694","PUBLIC SCHOOL DISTRICT","MARION SCHOOL DIST",5,29,205,300,2021-10-07
"695","PUBLIC SCHOOL DISTRICT","QUITMAN SCHOOL DIST",5,NA,NA,35,2021-10-07
"696","PUBLIC SCHOOL DISTRICT","ROSE BUD SCHOOL DIST",5,NA,NA,45,2021-10-07
"697","PUBLIC SCHOOL DISTRICT","STUTTGART SCHOOL DIST",5,12,93,129,2021-10-07
"698","PUBLIC SCHOOL DISTRICT","WHITE HALL SCHOOL DIST",5,8,48,67,2021-10-07
"699","PUBLIC SCHOOL DISTRICT","WOODLAWN SCHOOL DIST",5,NA,NA,15,2021-10-07
"700","COLLEGE/UNIVERSITY","U OF A, FAYETTEVILLE",45,70,358,682,2021-10-07
"701","COLLEGE/UNIVERSITY","ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",15,14,68,128,2021-10-07
"702","COLLEGE/UNIVERSITY","U OF A, FORT SMITH",10,8,50,97,2021-10-07
"703","COLLEGE/UNIVERSITY","UACC AT MORRILTON",10,12,16,45,2021-10-07
"704","COLLEGE/UNIVERSITY","UACC AT BATESVILLE",8,NA,NA,25,2021-10-07
"705","COLLEGE/UNIVERSITY","UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",8,26,91,189,2021-10-07
"706","COLLEGE/UNIVERSITY","U OF A FOR MEDICAL SCIENCES, LITTLE ROCK",7,35,15,137,2021-10-07
"707","COLLEGE/UNIVERSITY","UA SYSTEM DIVISION OF AGRICULTURE, LITTLE ROCK",6,10,0,28,2021-10-07
"708","COLLEGE/UNIVERSITY","BLACK RIVER TECHNICAL COLLEGE, POCAHONTAS",5,7,13,29,2021-10-07
"709","COLLEGE/UNIVERSITY","SOUTHERN ARKANSAS UNIVERSITY, MAGNOLIA",5,8,64,89,2021-10-07
"710","PUBLIC SCHOOL DISTRICT","SPRINGDALE SCHOOL DIST",65,109,541,788,2021-10-04
"711","PUBLIC SCHOOL DISTRICT","ROGERS SCHOOL DIST",48,63,361,519,2021-10-04
"712","PUBLIC SCHOOL DISTRICT","FORT SMITH SCHOOL DIST",46,89,386,560,2021-10-04
"713","PUBLIC SCHOOL DISTRICT","PARAGOULD SCHOOL DIST",41,16,200,277,2021-10-04
"714","PUBLIC SCHOOL DISTRICT","PULASKI COUNTY SPECIAL SCHOOL DIST",37,33,192,269,2021-10-04
"715","PUBLIC SCHOOL DISTRICT","CABOT SCHOOL DIST",32,33,418,575,2021-10-04
"716","PUBLIC SCHOOL DISTRICT","GREENE COUNTY TECH SCHOOL DIST",31,28,197,258,2021-10-04
"717","PUBLIC SCHOOL DISTRICT","VAN BUREN SCHOOL DIST",31,36,186,253,2021-10-04
"718","PUBLIC SCHOOL DISTRICT","JONESBORO SCHOOL DIST",29,29,264,321,2021-10-04
"719","PUBLIC SCHOOL DISTRICT","BENTONVILLE SCHOOL DIST",28,60,356,480,2021-10-04
"720","PUBLIC SCHOOL DISTRICT","CONWAY SCHOOL DIST",27,21,230,307,2021-10-04
"721","PUBLIC SCHOOL DISTRICT","LITTLE ROCK SCHOOL DIST",27,32,284,373,2021-10-04
"722","PUBLIC SCHOOL DISTRICT","BRYANT SCHOOL DIST",25,30,254,355,2021-10-04
"723","PUBLIC SCHOOL DISTRICT","BENTON SCHOOL DIST",24,24,208,288,2021-10-04
"724","PUBLIC SCHOOL DISTRICT","RUSSELLVILLE SCHOOL DIST",23,27,153,214,2021-10-04
"725","PUBLIC SCHOOL DISTRICT","WEST MEMPHIS SCHOOL DIST",23,25,195,248,2021-10-04
"726","PUBLIC SCHOOL DISTRICT","DREW CENTRAL SCHOOL DIST",21,8,56,75,2021-10-04
"727","PUBLIC SCHOOL DISTRICT","GREENBRIER SCHOOL DIST",21,18,124,157,2021-10-04
"728","PUBLIC SCHOOL DISTRICT","BATESVILLE SCHOOL DIST",19,14,106,126,2021-10-04
"729","PUBLIC SCHOOL DISTRICT","WYNNE SCHOOL DIST",19,24,88,123,2021-10-04
"730","PUBLIC SCHOOL DISTRICT","NETTLETON SCHOOL DIST",18,24,110,158,2021-10-04
"731","PUBLIC SCHOOL DISTRICT","FAYETTEVILLE SCHOOL DIST",17,23,162,187,2021-10-04
"732","PUBLIC SCHOOL DISTRICT","GREENWOOD SCHOOL DIST",17,16,102,149,2021-10-04
"733","PUBLIC SCHOOL DISTRICT","NORTH LITTLE ROCK SCHOOL DIST",16,22,119,165,2021-10-04
"734","PUBLIC SCHOOL DISTRICT","CAVE CITY SCHOOL DIST",15,6,50,65,2021-10-04
"735","PUBLIC SCHOOL DISTRICT","SOUTHSIDE SCHOOL DIST(INDEPENDENCE)",15,5,73,92,2021-10-04
"736","PUBLIC SCHOOL DISTRICT","BEEBE SCHOOL DIST",14,6,72,86,2021-10-04
"737","PUBLIC SCHOOL DISTRICT","EL DORADO SCHOOL DIST",14,15,69,93,2021-10-04
"738","PUBLIC SCHOOL DISTRICT","MARION SCHOOL DIST",14,28,205,299,2021-10-04
"739","PUBLIC SCHOOL DISTRICT","PALESTINE",14,NA,NA,46,2021-10-04
"740","PUBLIC SCHOOL DISTRICT","PANGBURN SCHOOL DIST",14,12,51,69,2021-10-04
"741","PUBLIC SCHOOL DISTRICT","TRUMANN SCHOOL DIST",14,7,74,102,2021-10-04
"742","PUBLIC SCHOOL DISTRICT","HIGHLAND SCHOOL DIST",13,10,90,123,2021-10-04
"743","PUBLIC SCHOOL DISTRICT","LISA ACADEMY",13,17,80,117,2021-10-04
"744","PUBLIC SCHOOL DISTRICT","POCAHONTAS SCHOOL DIST",13,17,120,163,2021-10-04
"745","PUBLIC SCHOOL DISTRICT","ARKADELPHIA SCHOOL DIST",12,NA,NA,60,2021-10-04
"746","PUBLIC SCHOOL DISTRICT","BUFFALO IS. CENTRAL SCH. DIST",12,NA,NA,43,2021-10-04
"747","PUBLIC SCHOOL DISTRICT","DARDANELLE SCHOOL DIST",12,9,80,99,2021-10-04
"748","PUBLIC SCHOOL DISTRICT","GURDON SCHOOL DIST",12,NA,NA,49,2021-10-04
"749","PUBLIC SCHOOL DISTRICT","JACKSONVILLE NORTH PULASKI SCHOOL DIST",12,13,94,134,2021-10-04
"750","PUBLIC SCHOOL DISTRICT","LAMAR SCHOOL DIST",12,12,71,96,2021-10-04
"751","PUBLIC SCHOOL DISTRICT","SHIRLEY SCHOOL DIST",12,NA,NA,32,2021-10-04
"752","PUBLIC SCHOOL DISTRICT","VILONIA SCHOOL DIST",12,12,91,127,2021-10-04
"753","PUBLIC SCHOOL DISTRICT","CLEVELAND COUNTY SCHOOL DIST",11,NA,NA,25,2021-10-04
"754","PUBLIC SCHOOL DISTRICT","FORREST CITY SCHOOL DIST",11,8,74,98,2021-10-04
"755","PUBLIC SCHOOL DISTRICT","FOUKE SCHOOL DIST",11,11,41,57,2021-10-04
"756","PUBLIC SCHOOL DISTRICT","GENTRY SCHOOL DIST",11,13,66,89,2021-10-04
"757","PUBLIC SCHOOL DISTRICT","MCGEHEE SCHOOL DIST",11,NA,NA,62,2021-10-04
"758","PUBLIC SCHOOL DISTRICT","SHERIDAN SCHOOL DIST",11,20,159,215,2021-10-04
"759","PUBLIC SCHOOL DISTRICT","SILOAM SPRINGS SCHOOL DIST",11,21,136,190,2021-10-04
"760","PUBLIC SCHOOL DISTRICT","TWO RIVERS SCHOOL DIST",11,6,40,55,2021-10-04
"761","PUBLIC SCHOOL DISTRICT","VALLEY VIEW SCHOOL DIST",11,5,52,68,2021-10-04
"762","PUBLIC SCHOOL DISTRICT","ALMA SCHOOL DIST",10,13,88,123,2021-10-04
"763","PUBLIC SCHOOL DISTRICT","GOSNELL SCHOOL DIST",10,11,59,85,2021-10-04
"764","PUBLIC SCHOOL DISTRICT","GRAVETTE SCHOOL DIST",10,11,82,107,2021-10-04
"765","PUBLIC SCHOOL DISTRICT","RIVERCREST SCHOOL DIST",10,13,77,106,2021-10-04
"766","PUBLIC SCHOOL DISTRICT","SOUTH CONWAY COUNTY SCHOOL DIST",10,9,91,114,2021-10-04
"767","PUBLIC SCHOOL DISTRICT","DEQUEEN SCHOOL DIST",9,6,107,127,2021-10-04
"768","PUBLIC SCHOOL DISTRICT","HEBER SPRINGS SCHOOL DIST",9,14,78,116,2021-10-04
"769","PUBLIC SCHOOL DISTRICT","LAKE HAMILTON SCHOOL DIST",9,17,114,142,2021-10-04
"770","PUBLIC SCHOOL DISTRICT","LAKESIDE SCHOOL DIST(CHICOT)",9,NA,NA,54,2021-10-04
"771","PUBLIC SCHOOL DISTRICT","MELBOURNE SCHOOL DIST",9,NA,NA,23,2021-10-04
"772","PUBLIC SCHOOL DISTRICT","NEWPORT SCHOOL DIST",9,14,74,94,2021-10-04
"773","PUBLIC SCHOOL DISTRICT","SCRANTON SCHOOL DIST",9,NA,NA,19,2021-10-04
"774","PUBLIC SCHOOL DISTRICT","TEXARKANA SCHOOL DIST",9,8,68,78,2021-10-04
"775","PUBLIC SCHOOL DISTRICT","WALDRON SCHOOL DIST",9,17,99,149,2021-10-04
"776","PUBLIC SCHOOL DISTRICT","BERRYVILLE SCHOOL DIST",8,16,56,85,2021-10-04
"777","PUBLIC SCHOOL DISTRICT","BROOKLAND SCHOOL DIST",8,6,139,177,2021-10-04
"778","PUBLIC SCHOOL DISTRICT","CLINTON SCHOOL DIST",8,7,37,47,2021-10-04
"779","PUBLIC SCHOOL DISTRICT","HAMBURG SCHOOL DIST",8,18,75,108,2021-10-04
"780","PUBLIC SCHOOL DISTRICT","HOPE SCHOOL DIST",8,9,33,49,2021-10-04
"781","PUBLIC SCHOOL DISTRICT","MANSFIELD SCHOOL DIST",8,12,49,69,2021-10-04
"782","PUBLIC SCHOOL DISTRICT","PRAIRIE GROVE SCHOOL DIST",8,11,95,119,2021-10-04
"783","PUBLIC SCHOOL DISTRICT","STUTTGART SCHOOL DIST",8,12,93,129,2021-10-04
"784","PUBLIC SCHOOL DISTRICT","CLARKSVILLE SCHOOL DIST",7,21,114,155,2021-10-04
"785","PUBLIC SCHOOL DISTRICT","DIERKS SCHOOL DIST",7,NA,NA,17,2021-10-04
"786","PUBLIC SCHOOL DISTRICT","ESTEM PUBLIC CHARTER SCHOOL DIST",7,18,76,102,2021-10-04
"787","PUBLIC SCHOOL DISTRICT","LAVACA SCHOOL DIST",7,6,36,47,2021-10-04
"788","PUBLIC SCHOOL DISTRICT","MIDLAND SCHOOL DIST",7,8,33,45,2021-10-04
"789","PUBLIC SCHOOL DISTRICT","MONTICELLO SCHOOL DIST",7,10,72,87,2021-10-04
"790","PUBLIC SCHOOL DISTRICT","MOUNTAIN VIEW SCHOOL DIST",7,9,52,68,2021-10-04
"791","PUBLIC SCHOOL DISTRICT","NASHVILLE SCHOOL DIST",7,NA,NA,86,2021-10-04
"792","PUBLIC SCHOOL DISTRICT","PERRYVILLE SCHOOL DIST",7,NA,NA,24,2021-10-04
"793","PUBLIC SCHOOL DISTRICT","PRESCOTT SCHOOL DIST",7,NA,NA,51,2021-10-04
"794","PUBLIC SCHOOL DISTRICT","ASHDOWN SCHOOL DIST",6,10,65,105,2021-10-04
"795","PUBLIC SCHOOL DISTRICT","CHARLESTON SCHOOL DIST",6,5,20,32,2021-10-04
"796","PUBLIC SCHOOL DISTRICT","FARMINGTON SCHOOL DIST",6,6,83,107,2021-10-04
"797","PUBLIC SCHOOL DISTRICT","HARRISBURG SCHOOL DIST",6,14,69,104,2021-10-04
"798","PUBLIC SCHOOL DISTRICT","HILLCREST SCHOOL DIST",6,NA,NA,23,2021-10-04
"799","PUBLIC SCHOOL DISTRICT","LAKESIDE SCHOOL DIST(GARLAND)",6,6,63,79,2021-10-04
"800","PUBLIC SCHOOL DISTRICT","PIGGOTT SCHOOL DIST",6,NA,NA,64,2021-10-04
"801","PUBLIC SCHOOL DISTRICT","PINE BLUFF SCHOOL DIST",6,9,41,51,2021-10-04
"802","PUBLIC SCHOOL DISTRICT","RIVERVIEW SCHOOL DIST",6,7,34,45,2021-10-04
"803","PUBLIC SCHOOL DISTRICT","WESTSIDE CONS. SCH DIST(CRAIGHEAD)",6,18,79,114,2021-10-04
"804","PUBLIC SCHOOL DISTRICT","WHITE HALL SCHOOL DIST",6,8,48,67,2021-10-04
"805","PUBLIC SCHOOL DISTRICT","CENTERPOINT SCHOOL DIST",5,7,53,64,2021-10-04
"806","PUBLIC SCHOOL DISTRICT","COSSATOT RIVER SCHOOL DIST",5,11,49,68,2021-10-04
"807","PUBLIC SCHOOL DISTRICT","EMERSON",5,5,40,49,2021-10-04
"808","PUBLIC SCHOOL DISTRICT","HARRISON SCHOOL DIST",5,9,45,64,2021-10-04
"809","PUBLIC SCHOOL DISTRICT","LONOKE SCHOOL DIST",5,6,38,51,2021-10-04
"810","PUBLIC SCHOOL DISTRICT","RIVERSIDE SCHOOL DIST",5,NA,NA,33,2021-10-04
"811","PUBLIC SCHOOL DISTRICT","SEARCY SCHOOL DIST",5,15,150,182,2021-10-04
"812","PRIVATE SCHOOL","TRINITY CHRISTIAN SCHOOL, TEXARKANA",5,0,8,8,2021-10-04
"813","COLLEGE/UNIVERSITY","U OF A, FAYETTEVILLE",43,68,348,671,2021-10-04
"814","COLLEGE/UNIVERSITY","ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",15,14,65,123,2021-10-04
"815","COLLEGE/UNIVERSITY","U OF A, FORT SMITH",9,8,50,97,2021-10-04
"816","COLLEGE/UNIVERSITY","UACC AT MORRILTON",9,11,14,42,2021-10-04
"817","COLLEGE/UNIVERSITY","UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",8,25,90,187,2021-10-04
"818","COLLEGE/UNIVERSITY","UA SYSTEM DIVISION OF AGRICULTURE, LITTLE ROCK",6,10,0,25,2021-10-04
"819","COLLEGE/UNIVERSITY","ARKANSAS STATE UNIVERSITY, JONESBORO",5,19,53,73,2021-10-04
"820","COLLEGE/UNIVERSITY","ASU - NEWPORT",5,NA,NA,27,2021-10-04
"821","COLLEGE/UNIVERSITY","BLACK RIVER TECHNICAL COLLEGE, POCAHONTAS",5,6,12,27,2021-10-04
"822","COLLEGE/UNIVERSITY","JOHN BROWN UNIVERSITY, SILOAM SPRINGS",5,11,20,46,2021-10-04
"823","COLLEGE/UNIVERSITY","SOUTHERN ARKANSAS UNIVERSITY, MAGNOLIA",5,7,62,86,2021-10-04
